epoch,steps,Accuracy,F1,Precision,Recall,Average_Precision
0,-1,0.8004750593824228,0.6612903225806452,0.8770053475935828,0.5307443365695793,0.830538492216825
1,-1,0.8147268408551069,0.6964980544747081,0.8731707317073171,0.5792880258899676,0.8393919734224563
2,-1,0.7945368171021377,0.6476578411405296,0.8736263736263736,0.5145631067961165,0.828793344270663
3,-1,0.7921615201900237,0.6331236897274634,0.8988095238095238,0.4886731391585761,0.816975910258189
4,-1,0.828978622327791,0.7482517482517481,0.8136882129277566,0.6925566343042071,0.8300253936636856
5,-1,0.7980997624703088,0.6443514644351465,0.9112426035502958,0.49838187702265374,0.8260594646686223
6,-1,0.7945368171021377,0.6373165618448637,0.9047619047619048,0.4919093851132686,0.8204769186691445
7,-1,0.832541567695962,0.7450271247739602,0.8442622950819673,0.6666666666666666,0.8359060972521205
8,-1,0.8254156769596199,0.7312614259597806,0.8403361344537815,0.6472491909385113,0.8262630266852979
9,-1,0.8064133016627079,0.7020109689213894,0.8067226890756303,0.6213592233009708,0.8132563514430833
10,-1,0.8028503562945368,0.668,0.8743455497382199,0.540453074433657,0.8065250760662664
11,-1,0.7921615201900237,0.6361746361746362,0.8895348837209303,0.49514563106796117,0.811678009558538
12,-1,0.8099762470308789,0.696969696969697,0.8401826484018264,0.5954692556634305,0.8351280429591406
13,-1,0.8111638954869359,0.7071823204419888,0.8205128205128205,0.6213592233009708,0.8312860026738278
14,-1,0.8004750593824228,0.6769230769230768,0.8341232227488151,0.56957928802589,0.8183162794192088
15,-1,0.7897862232779097,0.620985010706638,0.9177215189873418,0.4692556634304207,0.8080414655683352
16,-1,0.8004750593824228,0.6679841897233202,0.8578680203045685,0.5469255663430421,0.8147890618332148
17,-1,0.7933491686460807,0.6359832635983264,0.8994082840236687,0.4919093851132686,0.8232267636589699
18,-1,0.8064133016627079,0.6733466933867736,0.8842105263157894,0.5436893203883495,0.8241482954589174
19,-1,0.8123515439429929,0.684,0.8952879581151832,0.5533980582524272,0.8223346996818752
